"","Districtcode","Wardcode","Wardname","Population2011Census.x","Crimerate","Openspace","hhSocialRented","JobSeekers","Noqual","Carsperhousehold","LifeExpectancy","Children","Greaterthan65","nonwhite","NotBorninUK","NotEnglishspeaking"
"109"," 00AX","00AXFY","Kingston upon Thames - Berrylands",9437,34.1,10.8,17.4,2.4,11.9,1,81.15,16.9227508742185,14.9,18.1,24.1,6.9
"110"," 00AW","00AWFZ","Kensington and Chelsea - Brompton",8839,291.9,10.8,12.3,1.4,6.6,0.6,87.65,NA,NA,NA,NA,NA
"111"," 00BB","00BBGG","Newham - East Ham Central",15917,174.4,10.9,15.7,8.4,19.3,0.6,78.4,22.4539800213608,7.1,81.9,61.4,29.1
"112"," 00AX","00AXGE","Kingston upon Thames - Coombe Vale",9750,36.4,11,6.9,1.8,11.7,1.2,82.75,21.2410256410256,13.3,33.4,33.5,11.1
"113"," 00BJ","00BJGC","Wandsworth - East Putney",15022,49,11,11.3,2.2,7.9,0.7,82.9,13.2738649980029,11,20.6,39.4,9.3
"114"," 00AQ","00AQFY","Harrow - Belmont",11343,56.1,11,3.7,2.8,15.1,1.5,83.8,21.2465837961739,13,58.7,41.6,13.2
"115"," 00AU","00AUFX","Islington - Barnsbury",12201,150.3,11,38.5,5,16.3,0.5,77.25,14.8840258995164,9.4,28.9,35.5,10.9
"116"," 00AT","00ATGL","Hounslow - Hounslow Central",15169,213.4,11.1,16.9,3.9,12.8,0.7,82.75,18.5312149779155,9.5,70.7,64.5,29.5
"117"," 00BJ","00BJGD","Wandsworth - Fairfield",14613,83.7,11.2,15.2,2.4,8.5,0.7,78.75,12.6736467528913,6.7,22.1,32.5,7.1
"118"," 00AH","00AHHA","Croydon - Thornton Heath",16539,95.9,11.2,19.7,11.3,18.7,0.7,79.2,25.0256968377774,9.1,67.1,37.6,9.4
"119"," 00AE","00AEGT","Brent - Kilburn",16989,123.3,11.2,45,13.3,17.1,0.4,80.2,18.6002707634352,8.6,50,48.1,18.4
"120"," 00BB","00BBGU","Newham - Stratford and New Town",17768,185.7,11.2,31.8,7,13.9,0.4,79.1,NA,NA,NA,NA,NA
"121"," 00AE","00AEGN","Brent - Dudden Hill",15059,112.1,11.5,19.9,9.1,19.8,0.8,86.7,20.3997609403015,9.7,55.9,56.2,23.8
